strategy,n_bets,win_rate,avg_roi,sd_roi,sharpe_like,avg_ev,eff_bet_count
Arbitrage,3934,1,0.031650682970278024,0.07625244413366007,0.4150776192143916,0.031650682970278024,3925.000000000001
Positive EV,36342,0.36842306397942354,-0.01714473583370053,1.5759654044164633,-0.01087887829622044,0.029160574375322258,17279.00000000083
