strategy,n_bets,win_lo,win_md,win_hi,roi_lo,roi_md,roi_hi
Arbitrage,3934,0.9990244760077657,0.9995122380038828,0.9999999999999999,0.029372716900849798,0.03176337505768579,0.03415403321452178
Positive EV,36342,0.37724665687226866,0.3822423741420548,0.38723809141184096,-0.03147968689031083,-0.01571865735023397,4.237218984289026e-5
